Iph = 0.2, vL = 1.53, iL = 0.18451544493848274
Iph = 0.2, vL = 1.54, iL = 0.18441554327675155
Iph = 0.2, vL = 1.55, iL = 0.18431564155354085
Iph = 0.2, vL = 1.56, iL = 0.18421573976643058
Iph = 0.2, vL = 1.57, iL = 0.18411583791290542
Iph = 0.2, vL = 1.58, iL = 0.18401593599035102
Iph = 0.2, vL = 1.59, iL = 0.18391603399605014
Iph = 0.2, vL = 1.6, iL = 0.18381613192717858
Iph = 0.2, vL = 1.61, iL = 0.18371622978080096
Iph = 0.2, vL = 1.62, iL = 0.1836163275538663
Iph = 0.2, vL = 1.6300000000000001, iL = 0.18351642524320366
Iph = 0.2, vL = 1.6400000000000001, iL = 0.18341652284551715
Iph = 0.2, vL = 1.6500000000000001, iL = 0.18331662035738114
Iph = 0.2, vL = 1.6600000000000001, iL = 0.18321671777523527
Iph = 0.2, vL = 1.67, iL = 0.18311681509537894
Iph = 0.2, vL = 1.68, iL = 0.18301691231396588
Iph = 0.2, vL = 1.69, iL = 0.18291700942699848
Iph = 0.2, vL = 1.7, iL = 0.1828171064303217
Iph = 0.2, vL = 1.71, iL = 0.18271720331961697
Iph = 0.2, vL = 1.72, iL = 0.18261730009039573
Iph = 0.2, vL = 1.73, iL = 0.18251739673799272
Iph = 0.2, vL = 1.74, iL = 0.18241749325755902
Iph = 0.2, vL = 1.75, iL = 0.18231758964405492
Iph = 0.2, vL = 1.76, iL = 0.18221768589224227
Iph = 0.2, vL = 1.77, iL = 0.1821177819966767
Iph = 0.2, vL = 1.78, iL = 0.18201787795169952
Iph = 0.2, vL = 1.79, iL = 0.18191797375142943
Iph = 0.2, vL = 1.8, iL = 0.18181806938975345
Iph = 0.2, vL = 1.81, iL = 0.18171816486031805
Iph = 0.2, vL = 1.82, iL = 0.1816182601565196
Iph = 0.2, vL = 1.83, iL = 0.18151835527149457
Iph = 0.2, vL = 1.84, iL = 0.18141845019810912
Iph = 0.2, vL = 1.85, iL = 0.18131854492894875
Iph = 0.2, vL = 1.86, iL = 0.18121863945630698
Iph = 0.2, vL = 1.87, iL = 0.18111873377217405
Iph = 0.2, vL = 1.8800000000000001, iL = 0.18101882786822487
Iph = 0.2, vL = 1.8900000000000001, iL = 0.18091892173580668
